Source,Target,SourceType,TargetType
㐷,傌,简体字符,繁体字符
㐹,㑶 㐹,简体字符,繁体字符
㐽,偑,简体字符,繁体字符
㑇,㑳,简体字符,繁体字符
㑈,倲,简体字符,繁体字符
㑔,㑯,简体字符,繁体字符
㑩,儸,简体字符,繁体字符
㑮,𫝈,繁体字符,简体字符
㑯,㑔,繁体字符,简体字符
㑳,㑇,繁体字符,简体字符
㑶,㐹,繁体字符,简体字符
㒓,𠉂,繁体字符,简体字符
㓄,𪠟,繁体字符,简体字符
㓆,𠗣,简体字符,繁体字符
㓥,劏,简体字符,繁体字符
㓦划,㓦劃,简体词组,繁体词组
㓨,刾,繁体字符,简体字符
㓰,劃,简体字符,繁体字符
㔉,劚,简体字符,繁体字符
㔋,𪟎,繁体字符,简体字符
㖊,噚,简体字符,繁体字符
㖞,喎,简体字符,繁体字符
㖮,𪠵,繁体字符,简体字符
㗲,𠵾,繁体字符,简体字符
㗿,𪡛,繁体字符,简体字符
㘉,𠰱,繁体字符,简体字符
㘎,㘚,简体字符,繁体字符
㘓,𪢌,繁体字符,简体字符
㘔,𫬐,繁体字符,简体字符
㘚,㘎,繁体字符,简体字符
㚯,㜄,简体字符,繁体字符
㛀,媰,简体字符,繁体字符
㛝,𫝦,繁体字符,简体字符
㛟,𡞵,简体字符,繁体字符
㛠,𡢃,简体字符,繁体字符
㛣,㜏,简体字符,繁体字符
㛤,孋,简体字符,繁体字符
㛿,𡠹,简体字符,繁体字符
㜄,㚯,繁体字符,简体字符
㜏,㛣,繁体字符,简体字符
㜐,𫝧,繁体字符,简体字符
㜗,𡞋,繁体字符,简体字符
㜢,𡞱,繁体字符,简体字符
㜷,𡝠,繁体字符,简体字符
㞞,𪨊,繁体字符,简体字符
㟆,㠏,简体字符,繁体字符
㟜,𡾱,简体字符,繁体字符
㟥,嵾,简体字符,繁体字符
㟺,𪩇,繁体字符,简体字符
㠏,㟆,繁体字符,简体字符
㠣,𫵷,繁体字符,简体字符
㡎,幓,简体字符,繁体字符
㢗,𪪑,繁体字符,简体字符
㢝,𢋈,繁体字符,简体字符
㤘,㥮,简体字符,繁体字符
㤽,懤,简体字符,繁体字符
㥪,慺,简体字符,繁体字符
㥮,㤘,繁体字符,简体字符
㦎,𢛯,繁体字符,简体字符
㦛,𢗓,繁体字符,简体字符
㦞,𪫷,繁体字符,简体字符
㧏,掆,简体字符,繁体字符
㧐,㩳,简体字符,繁体字符
㧑,撝,简体字符,繁体字符
㧟,擓,简体字符,繁体字符
㧰,擽,简体字符,繁体字符
㨫,㩜,简体字符,繁体字符
㨻,𪮃,繁体字符,简体字符
㩋,𪮋,繁体字符,简体字符
㩜,㨫,繁体字符,简体字符
㩳,㧐,繁体字符,简体字符
㩵,擜,繁体字符,简体字符
㪎,𪯋,繁体字符,简体字符
㭎,棡,简体字符,繁体字符
㭏,椲,简体字符,繁体字符
㭣,𣙎,简体字符,繁体字符
㭤,樢,简体字符,繁体字符
㭴,樫,简体字符,繁体字符
㯤,𣘐,繁体字符,简体字符
㰙,𣗙,繁体字符,简体字符
㱩,殰,简体字符,繁体字符
㱮,殨,简体字符,繁体字符
㲿,瀇,简体字符,繁体字符
㳔,濧,简体字符,繁体字符
㳕,灡,简体字符,繁体字符
㳠,澾,简体字符,繁体字符
㳡,濄,简体字符,繁体字符
㳢,𣾷,简体字符,繁体字符
㳽,瀰,简体字符,繁体字符
㴋,潚,简体字符,繁体字符
㵗,𣳆,繁体字符,简体字符
㵾,𪷍,繁体字符,简体字符
㶆,𫞛,繁体字符,简体字符
㶉,鸂,简体字符,繁体字符
㶶,燶,简体字符,繁体字符
